YEAR,TRI_FACILITY_ID,FRS_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,ST,ZIP,BIA_CODE,TRIBE,LATITUDE,LONGITUDE,FEDERAL_FACILITY,INDUSTRY_SECTOR_CODE,INDUSTRY_SECTOR,PRIMARY_SIC,SIC_2,SIC_3,SIC_4,SIC_5,SIC_6,PRIMARY_NAICS,NAICS_2,NAICS_3,NAICS_4,NAICS_5,NAICS_6,DOC_CTRL_NUM,CHEMICAL,CAS_#/COMPOUND_ID,SRS_ID,CLEAR_AIR_ACT_CHEMICAL,CLASSIFICATION,METAL,METAL_CATEGORY,CARCINOGEN,FORM_TYPE,UNIT_OF_MEASURE,5.1_FUGITIVE_AIR,5.2_STACK_AIR,5.3_WATER,5.4_UNDERGROUND,5.4.1_UNDERGROUND_CLASS_I,5.4.2_UNDERGROUND_CLASS_II-V,5.5.1_LANDFILLS,5.5.1A_RCRA_C_LANDFILLS,5.5.1B_OTHER_LANDFILLS,5.5.2_LAND_TREATMENT,5.5.3_SURFACE_IMPOUNDMENT,5.5.3A_RCRA_C_SURFACE_IMP.,5.5.3B_Other_SURFACE_IMP.,5.5.4_OTHER_DISPOSAL,ON-SITE_RELEASE_TOTAL,6.1_POTW-TRANSFERS_FOR_RELEASE,6.1_POTW-TRANSFERS_FOR_TREATM.,6.1_POTW-TOTAL_TRANSFERS,6.2_M10,6.2_M41,6.2_M62,6.2_M71,6.2_M81,6.2_M82,6.2_M72,6.2_M63,6.2_M66,6.2_M67,6.2_M64,6.2_M65,6.2_M73,6.2_M79,6.2_M90,6.2_M94,6.2_M99,OFF-SITE_RELEASE_TOTAL,6.2_M20,6.2_M24,6.2_M26,6.2_M28,6.2_M93,OFF-SITE_RECYCLED_TOTAL,6.2_M56,6.2_M92,OFF-SITE_RECOVERY_TOTAL,6.2_M40,6.2_M50,6.2_M54,6.2_M61,6.2_M69,6.2_M95,OFF-SITE_TREATED_TOTAL,TOTAL_RELEASES,8.1_RELEASES,8.1A_ON-SITE_CONTAINED_REL.,8.1B_ON-SITE_OTHER_RELEASES,8.1C_OFF-SITE_CONTAINED_REL.,8.1D_OFF-SITE_OTHER_RELEASES,8.2_ENERGY_RECOVERY_ON-SITE,8.3_ENERGY_RECOVERY_OFF-SITE,8.4_RECYCLING_ON-SITE, 8.5_RECYCLING_OFF-SITE,8.6_TREATMENT_ON-SITE,8.7_TREATMENT_OFF-SITE,PROD._WASTE_(8.1_THRU_8.7),8.8_ONE-TIME_RELEASE,PROD_RATIO_OR_ACTIVITY,8.9_PRODUCTION_RATIO,PARENT_COMPANY_NAME,PARENT_COMPANY_DB_NUMBER
2015,2814WKZNBL485CE,1.1E+11,AKZO NOBEL SURFACE CHEMISTRY LLC,485 CEDAR SPRINGS RD,SALISBURY,ROWAN,NC,28147,,,35.6322,-80.5412,NO,325,Chemicals,,,,,,,325199,,,,,,1.31521E+12,BENZOYL PEROXIDE,94360,15420,NO,TRI,NO,0,NO,A,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,AKZO NOBEL INC,62999347
2015,28080THTMK1TIMK,1.1001E+11,TIMKEN CO LINCOLNTON BEARING PLANT,1000 TIMKEN PL,IRON STATION,LINCOLN,NC,28080,,,35.4511,-81.17118,NO,332,Fabricated Metals,,,,,,,332991,,,,,,1.31521E+12,NICKEL,7440020,149674,YES,TRI,YES,1,YES,R,Pounds,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.1,0,1.1,0,0,0,0,0,0,0,0,0,0,2436,0,0,0,0,0,0,2437.1,0,44037,0,0,0,44037,0,0,0,0,0,0,0,0,0,0,2447.2,0,0,9,2436,1.1,0,0,0,44037,0,0,46483.1,,PRODUCTION,0.71,THE TIMKEN CO,4465100
2015,27025PNHLLLINDS,1.1E+11,PINE HALL BRICK CO INC,634 LINDSAY BRIDGE RD,MADISON,ROCKINGHAM,NC,27025,,,36.37608,-79.99042,NO,327,Nonmetallic Mineral Product,,,,,,,327120,,,,,,1.31521E+12,AMMONIA,7664417,17294687,NO,TRI,NO,0,NO,R,Pounds,0,11670,0,0,0,0,0,0,0,0,0,0,0,0,11670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11670,0,0,11670,0,0,0,0,0,0,0,0,11670,,PRODUCTION,1,PINE HALL BRICK CO INC,41414541
2015,27806TXSGLHIGHW,1.10001E+11,PCS PHOSPHATE CO INC,1530 NC HWY 306 S,AURORA,BEAUFORT,NC,27806,,,35.37745,-76.778816,NO,325,Chemicals,,,,,,,325312,325180,212392,,,,1.31521E+12,NICKEL COMPOUNDS,N495,650036,YES,TRI,YES,1,NO,R,Pounds,22,150,0,0,0,0,0,0,80719,0,0,0,276,0,81167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81167,0,80719,448,0,0,0,0,0,0,0,0,81167,0,PRODUCTION,1.05,POTASH HOLDING CO,79102116
2015,28689SMRSLHWY90,1.10007E+11,SOMERS LUMBER & MANUFACTURING INC,HWY 901,UNION GROVE,IREDELL,NC,28689,,,36.02404,-80.86184,NO,321,Wood Products,,,,,,,321912,,,,,,1.31521E+12,LEAD COMPOUNDS,N420,650002,YES,PBT,YES,1,NO,R,Pounds,0.001,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0,7.45,0,0,0,0,0,0,7.45,0,0,12.22,0,0,12.22,0,0,0,0,0,0,0,0,0,0,7.496,0,0,0.046,7.45,0,0,0,0,12.22,0,0,19.716,,ACTIVITY,1.26,NA,
2015,2740WCNTRL296SE,1.10055E+11,CENTRAL CAROLINA CONCRETE LLC   PLANT 1,296 S.EDWARDIA DR,GREENSBORO,GUILFORD,NC,27409,,,36.067865,-79.885948,NO,327,Nonmetallic Mineral Product,,,,,,,327320,,,,,,1.31521E+12,LEAD COMPOUNDS,N420,650002,YES,PBT,YES,1,NO,R,Pounds,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0085,0,0,0.0085,0,0,0,0,0,0,0,0,0.0085,,PRODUCTION,4.53,CONCRETE SUPPLY CO LLC,80236456
2015,28682DKNRG8320E,1.1E+11,DUKE ENERGY CAROLINAS LLC - MARSHALL STEAM STATION,8320 E NC 150 HWY,TERRELL,CATAWBA,NC,28682,,,35.5975,-80.9658,NO,2211,Electric Utilities,,,,,,,221112,,,,,,1.31521E+12,ZINC COMPOUNDS,N982,649699,NO,TRI,YES,1,NO,R,Pounds,8,1400,1300,0,0,0,0,0,110000,0,0,0,16000,0,128708,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128720,0,110000,19000,10,2,0,0,0,0,0,0,129012,,PRODUCTION,0.74,DUKE ENERGY CORP,6996052
2015,28120FRGHT1800N,1.1E+11,DAIMLER TRUCKS NA LLC,1800 N MAIN ST,MOUNT HOLLY,GASTON,NC,28120,,,35.32452,-81.00572,NO,336,Transportation Equipment,,,,,,,336120,,,,,,1.31521E+12,ETHYLENE GLYCOL,107211,24257,YES,TRI,NO,0,NO,R,Pounds,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57660,0,0,57660,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,57660,0,0,57660.3,,PRODUCTION,1.36,DAIMLER TRUCKS N.A. LLC,9029687
2015,28357MNTRFHWY71,1.10001E+11,MOUNTAIRE FARMS INC - LUMBER BRIDGE,17269 NC HWY 71,LUMBER BRIDGE,ROBESON,NC,28357,,,34.868733,-79.105668,NO,311,Food,,,,,,,311615,,,,,,1.31521E+12,PERACETIC ACID,79210,7682,NO,TRI,NO,0,NO,R,Pounds,1273,1509,0,0,0,0,0,0,0,0,0,0,0,0,2782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2782,0,0,2782,0,0,0,0,0,0,187743,0,190525,,ACTIVITY,1.03,MOUNTAIRE FARMS INC,91812669
2015,27374MRSNN325WE,1.10007E+11,ASCO POWER TECHNOLOGIES,325 WELCOME CENTER BLVD,WELCOME,DAVIDSON,NC,27374,,,35.930556,-80.235556,NO,335,Electrical Equipment,,,,,,,335313,,,,,,1.31521E+12,CHROMIUM,7440473,150060,YES,TRI,YES,1,YES,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15290.07,15290.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15290.07,0,0,15290.07,,PRODUCTION,1.1,EMERSON ELECTRIC CO,167253504
2015,27835HNDRX1101I,1.10002E+11,TRIEST AG GROUP INC,1101 INDUSTRIAL BLVD,GREENVILLE,PITT,NC,27834,,,35.645,-77.34877,NO,325,Chemicals,,,,,,,325320,,,,,,1.31521E+12,"1,3-DICHLOROPROPYLENE",542756,52449,YES,TRI,NO,0,YES,A,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,TRIEST AG GROUP INC.,555424019
2015,28345PRGRSNCSR1,1.10004E+11,DUKE ENERGY PROGRESS LLC - SMITH ENERGY COMPLEX,198 ENERGY WAY,HAMLET,RICHMOND,NC,28345,,,34.8387,-79.7396,NO,2211,Electric Utilities,,,,,,,221112,,,,,,1.31521E+12,AMMONIA,7664417,17294687,NO,TRI,NO,0,NO,R,Pounds,290,220000,0,0,0,0,0,0,0,0,0,0,0,0,220290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220290,0,0,220000,0,0,0,0,0,0,0,0,220000,,PRODUCTION,1.4,DUKE ENERGY CORP,6996052
2015,27849PRDNCHIGHW,1.10004E+11,LEWISTON PROCESSING PLANT,3539 GOVERNORS RD,LEWISTON WOODVILLE,BERTIE,NC,27849,,,36.14189,-77.21939,NO,311,Food,,,,,,,311613,,,,,,1.31521E+12,POLYCYCLIC AROMATIC COMPOUNDS,N590,649749,YES,PBT,NO,0,YES,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,PRODUCTION,1.04,PERDUE FARMS INC,782989800
2015,28384SPXVL1491N,1.10016E+11,MUELLER STEAM SPECIALTY,1491 NC HWY 20 W,SAINT PAULS,ROBESON,NC,28384,,,34.820372,-79.002821,NO,332,Fabricated Metals,,,,,,,332911,,,,,,1.31521E+12,FORMALDEHYDE,50000,1008,YES,TRI,NO,0,YES,R,Pounds,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0.005,0,0,0,0,0,0,0,0,0.005,,PRODUCTION,1,WATTS REGULATOR,152163093
2015,27531SRFRC4CESC,1.10001E+11,"U.S. DOD, USAF, SEYMOUR JOHNSON AFB",4 CES/CC 1095 PETERSON AVE,GOLDSBORO,WAYNE,NC,27531,,,35.35358,-77.97006,YES,999,Other,,,,,,,928110,,,,,,1.31521E+12,NAPHTHALENE,91203,13326,YES,TRI,NO,0,NO,R,Pounds,4,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666,0,666,0,0,0,0,0,0,0,7,0,0,7,0,0,0,666,0,0,0,0,673,,ACTIVITY,0.8,US DEPARTMENT OF DEFENSE,NA
2015,27856PRDFRALTUS,1.1001E+11,PERDUE NASHVILLE FEED MILL,1835 US HWY 64A,NASHVILLE,NASH,NC,27856,,,35.970875,-77.999312,NO,311,Food,,,,,,,311119,,,,,,1.31521E+12,FORMALDEHYDE,50000,1008,YES,TRI,NO,0,YES,A,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,PERDUE FARMS INC,782989800
2015,2865WMRCNR37BUR,1.10004E+11,AMERICAN ROLLER BEARING CO,307 BURKE DR,MORGANTON,BURKE,NC,28655,,,35.74948,-81.66411,NO,332,Fabricated Metals,,,,,,,332991,,,,,,1.31521E+12,COPPER,7440508,150086,NO,TRI,YES,1,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67333,67333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67333,0,0,67333,,PRODUCTION,0.49,AMERICAN ROLLER BEARING CO,21387394
2015,2756WCMXMR222IN,1.10002E+11,CONCRETE SUPPLY CO  LLC - MORRISVILLE,222 INTERNATIONAL DRIVE,MORRISVILLE,WAKE,NC,27560,,,35.83902,-78.82453,NO,327,Nonmetallic Mineral Product,,,,,,,327320,,,,,,1.31521E+12,LEAD COMPOUNDS,N420,650002,YES,PBT,YES,1,NO,R,Pounds,0,0.0063,0,0,0,0,0,0,0,0,0,0,0,0,0.0063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0063,0,0,0.0063,0,0,0,0,0,0,0,0,0.0063,,PRODUCTION,1.24,CONCRETE SUPPLY CO LLC,80236456
2015,27320BHMFLROUTE,1.1001E+11,DYSTAR LP,209 WATLINGTON IND US TRIAL DR,REIDSVILLE,ROCKINGHAM,NC,27320,,,36.32093,-79.64907,NO,325,Chemicals,,,,,,,325613,,,,,,1.31521E+12,BUTYRALDEHYDE,123728,33134,NO,TRI,NO,0,NO,R,Pounds,5,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,3950,0,0,0,3960,,PRODUCTION,2,DYSTAR LP,NA
2015,28458MRPHY210TH,1.10017E+11,MURPHY-BROWN LLC CHIEF FEED MILL,210 THE CHIEF LN,ROSE HILL,DUPLIN,NC,28458,,,34.813976,-78.021241,NO,311,Food,,,,,,,311119,,,,,,1.31521E+12,MANGANESE,7439965,149625,YES,TRI,YES,1,NO,R,Pounds,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0,0,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,0,0,0.92,1.37,0,0,0,0,0,0,0,2.29,,PRODUCTION,0.95,MURPHY BROWN LLC,39055368
2015,27406NTXCH520BR,1.1E+11,LANXESS CORP,520 BROOME RD,GREENSBORO,GUILFORD,NC,27406,,,36.03979,-79.77917,NO,325,Chemicals,,,,,,,325199,,,,,,1.31521E+12,METHANOL,67561,4283,YES,TRI,NO,0,NO,R,Pounds,118,4731,0,0,0,0,0,0,0,0,0,0,0,0,4849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4849,0,0,4849,0,0,0,0,0,0,0,0,4849,,ACTIVITY,0.73,LANXESS CORP,145858770
2015,27406NTXCH520BR,1.1E+11,LANXESS CORP,520 BROOME RD,GREENSBORO,GUILFORD,NC,27406,,,36.03979,-79.77917,NO,325,Chemicals,,,,,,,325199,,,,,,1.31521E+12,PHTHALIC ANHYDRIDE,85449,10355,YES,TRI,NO,0,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ACTIVITY,0.42,LANXESS CORP,145858770
2015,28352MRPHY19600,1.10001E+11,MURPHY-BROWN LLC LAURINBURG FEED MILL,19600 ANDREW JACKSON HWY BUSINESS 74 E,LAURINBURG,SCOTLAND,NC,28352,,,34.761382,-79.417153,NO,311,Food,,,,,,,311119,,,,,,1.31521E+12,ZINC (FUME OR DUST),7440666,150235,NO,TRI,NO,4,NO,R,Pounds,0,2.74,0,0,0,0,0,0,0,0,0,0,0,0,2.74,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.83,0,0,2.74,4.09,0,0,0,0,0,0,0,6.83,,PRODUCTION,0.41,MURPHY BROWN LLC,39055368
